item,value,date
15161,0.0,2008-04-01
15161,0.0,2008-05-01
15161,0.0,2008-06-01
15161,0.0,2008-07-01
15161,0.0,2008-08-01
15161,0.0,2008-09-01
15161,0.0,2008-10-01
15161,0.0,2008-11-01
15161,0.0,2008-12-01
15163,0.0,2008-01-01
15163,0.0,2008-02-01
15163,0.0,2008-03-01
15163,0.0,2008-04-01
15163,0.0,2008-05-01
15163,0.0,2008-06-01
15163,0.0,2008-07-01
15163,0.0,2008-08-01
15163,0.0,2008-09-01
15163,0.0,2008-10-01
15163,0.0,2008-11-01
15163,0.0,2008-12-01
15164,0.0,2008-01-01
15164,0.0,2008-02-01
15164,0.0,2008-03-01
15164,0.0,2008-04-01
15164,0.0,2008-05-01
15164,0.0,2008-06-01
15164,0.0,2008-07-01
15164,0.0,2008-08-01
15164,0.0,2008-09-01
15164,0.0,2008-10-01
15164,0.0,2008-11-01
15164,0.0,2008-12-01
15165,0.0,2008-01-01
15165,0.0,2008-02-01
15165,0.0,2008-03-01
15165,0.0,2008-04-01
15165,0.0,2008-05-01
15165,0.0,2008-06-01
15165,0.0,2008-07-01
15165,0.0,2008-08-01
15165,0.0,2008-09-01
15165,0.0,2008-10-01
15165,0.0,2008-11-01
15165,0.0,2008-12-01
15166,0.0,2008-01-01
15166,0.0,2008-02-01
15166,0.0,2008-03-01
15166,0.0,2008-04-01
15166,0.0,2008-05-01
15166,0.0,2008-06-01
15166,0.0,2008-07-01
15166,0.0,2008-08-01
15166,0.0,2008-09-01
15166,0.0,2008-10-01
15166,0.0,2008-11-01
15166,0.0,2008-12-01
15603,0.0,2008-01-01
15603,26.0,2008-02-01
15603,146.0,2008-03-01
15603,-1.0,2008-04-01
15603,0.0,2008-05-01
15603,0.0,2008-06-01
15603,0.0,2008-07-01
15603,0.0,2008-08-01
15603,0.0,2008-09-01
15603,0.0,2008-10-01
15603,0.0,2008-11-01
15603,0.0,2008-12-01
16155,0.0,2008-01-01
16155,0.0,2008-02-01
16155,0.0,2008-03-01
16155,0.0,2008-04-01
16155,0.0,2008-05-01
16155,0.0,2008-06-01
16155,0.0,2008-07-01
16155,0.0,2008-08-01
16155,0.0,2008-09-01
16155,0.0,2008-10-01
16155,0.0,2008-11-01
16155,0.0,2008-12-01
16200,0.0,2008-01-01
16200,0.0,2008-02-01
16200,0.0,2008-03-01
16200,0.0,2008-04-01
16200,0.0,2008-05-01
16200,0.0,2008-06-01
16200,0.0,2008-07-01
16200,0.0,2008-08-01
16200,0.0,2008-09-01
16200,0.0,2008-10-01
